Date,Price,Open,High,Low,Vol.,Change %
17-Feb-23,24573.5,23538.20,24984.70,23373.00,523.85K,4.39%
16-Feb-23,23539.6,24328.10,25233.80,23525.90,484.50K,-3.24%
15-Feb-23,24327.9,22198.50,24330.90,22050.80,401.53K,9.59%
14-Feb-23,22198.5,21776.90,22308.60,21556.20,378.39K,1.96%
13-Feb-23,21772.6,21782.70,21887.50,21418.70,312.04K,-0.07%
12-Feb-23,21786.8,21859.90,22080.70,21653.10,211.65K,-0.33%
11-Feb-23,21859.8,21627.40,21902.90,21605.30,182.07K,1.04%
10-Feb-23,21635,21792.50,21933.60,21491.70,352.79K,-0.72%
9-Feb-23,21792.5,22964.60,23003.60,21744.60,425.44K,-5.10%
8-Feb-23,22964.6,23251.70,23425.10,22691.70,289.12K,-1.23%
7-Feb-23,23251.7,22761.80,23338.80,22748.20,318.98K,2.15%
6-Feb-23,22761.8,22936.00,23130.60,22633.70,278.58K,-0.76%
5-Feb-23,22936,23326.90,23423.40,22766.50,217.26K,-1.66%
4-Feb-23,23323.8,23431.20,23571.80,23269.80,170.27K,-0.46%
3-Feb-23,23431.2,23429.10,23694.10,23233.80,349.36K,0.02%
2-Feb-23,23427.6,23726.20,24207.20,23398.10,382.86K,-1.26%
1-Feb-23,23725.6,23124.70,23784.50,22809.60,333.18K,2.60%
31-Jan-23,23125.1,22832.20,23262.90,22724.90,289.38K,1.28%
30-Jan-23,22832.2,23746.00,23794.00,22560.00,339.62K,-3.88%
29-Jan-23,23753.1,23023.50,23952.90,22973.30,320.86K,3.15%
28-Jan-23,23027.9,23074.60,23182.30,22889.80,156.96K,-0.20%
27-Jan-23,23074.6,23016.00,23480.30,22602.90,310.36K,0.25%
26-Jan-23,23016,23055.20,23259.50,22869.00,320.97K,-0.17%
25-Jan-23,23055.1,22632.50,23779.00,22366.30,388.18K,1.87%
24-Jan-23,22632.5,22916.30,23156.10,22517.10,334.17K,-1.23%
23-Jan-23,22915.5,22709.00,23161.80,22527.90,327.85K,0.91%
22-Jan-23,22707.8,22775.70,23068.70,22323.00,280.64K,-0.30%
21-Jan-23,22775.7,22677.50,23304.50,22461.10,382.69K,0.43%
20-Jan-23,22677.2,21074.90,22718.50,20879.30,373.74K,7.57%
19-Jan-23,21081.2,20670.60,21169.40,20669.70,275.76K,1.99%
18-Jan-23,20670.6,21137.10,21584.10,20448.30,388.67K,-2.21%
17-Jan-23,21137.1,21184.40,21506.40,20926.20,310.04K,-0.22%
16-Jan-23,21184.2,20880.10,21416.80,20698.90,337.46K,1.46%
15-Jan-23,20879.8,20956.00,21032.20,20585.70,205.80K,-0.37%
14-Jan-23,20958.2,19926.90,21185.60,19898.60,458.21K,5.17%
13-Jan-23,19927,18850.80,19981.60,18723.80,426.67K,5.71%
12-Jan-23,18851.3,17941.00,19055.30,17915.50,522.01K,5.07%
11-Jan-23,17942.3,17440.50,17989.80,17323.90,291.53K,2.89%
10-Jan-23,17439.1,17180.10,17491.00,17151.70,247.14K,1.51%
9-Jan-23,17180.1,17119.00,17390.80,17107.10,301.24K,0.36%
8-Jan-23,17119,16943.60,17119.00,16913.80,144.84K,1.04%
7-Jan-23,16943.6,16950.90,16979.60,16909.70,110.48K,-0.04%
6-Jan-23,16950.9,16829.80,17012.30,16707.60,233.47K,0.72%
5-Jan-23,16829.8,16852.20,16877.90,16772.30,178.96K,-0.13%
4-Jan-23,16852.1,16674.20,16976.50,16656.50,247.39K,1.07%
3-Jan-23,16674.2,16673.10,16773.20,16607.20,178.73K,0.00%
2-Jan-23,16674.3,16618.40,16766.90,16551.00,136.03K,0.34%
1-Jan-23,16618.4,16537.50,16621.90,16499.70,107.84K,0.49%
31-Dec-22,16537.4,16607.20,16635.90,16487.30,130.44K,-0.42%
30-Dec-22,16607.2,16636.40,16644.40,16360.00,192.76K,-0.18%
29-Dec-22,16636.4,16546.20,16659.10,16496.60,181.47K,0.55%
28-Dec-22,16546.2,16705.90,16781.10,16474.20,217.96K,-0.96%
27-Dec-22,16706.1,16918.20,16964.00,16610.10,192.18K,-1.25%
26-Dec-22,16918.1,16831.80,16936.10,16799.40,133.36K,0.51%
25-Dec-22,16831.8,16835.70,16852.90,16733.00,132.89K,-0.03%
24-Dec-22,16837.2,16778.60,16855.80,16777.80,110.12K,0.35%
23-Dec-22,16779.1,16820.50,16910.70,16768.00,184.12K,-0.25%
22-Dec-22,16820.6,16831.80,16862.20,16566.10,198.28K,-0.07%
21-Dec-22,16831.8,16902.70,16919.40,16735.00,174.34K,-0.42%
20-Dec-22,16902.8,16441.30,17031.30,16400.70,284.57K,2.81%
19-Dec-22,16441.3,16741.10,16809.50,16331.20,207.93K,-1.79%
18-Dec-22,16741.1,16777.00,16825.70,16666.50,124.29K,-0.21%
17-Dec-22,16777.1,16629.00,16794.40,16587.00,164.49K,0.89%
16-Dec-22,16629.6,17356.70,17518.50,16542.40,303.56K,-4.19%
15-Dec-22,17356.1,17796.40,17846.10,17298.20,263.44K,-2.47%
14-Dec-22,17796.4,17778.60,18351.80,17682.10,318.98K,0.10%
13-Dec-22,17778.6,17210.90,17951.60,17094.50,328.71K,3.30%
12-Dec-22,17210.4,17093.20,17232.50,16878.50,249.39K,0.68%
11-Dec-22,17093.3,17127.00,17262.90,17080.60,167.20K,-0.20%
10-Dec-22,17127.2,17125.70,17220.50,17105.70,148.81K,0.01%
9-Dec-22,17125.7,17225.60,17288.60,17082.10,260.84K,-0.58%
8-Dec-22,17225.7,16835.20,17294.20,16765.80,261.64K,2.32%
7-Dec-22,16835.2,17089.40,17126.70,16715.30,244.36K,-1.49%
6-Dec-22,17089.3,16966.30,17101.10,16914.90,246.19K,0.72%
5-Dec-22,16966.5,17106.90,17395.20,16886.90,268.72K,-0.85%
4-Dec-22,17112.6,16884.80,17198.10,16881.60,197.12K,1.35%
3-Dec-22,16884.5,17093.40,17132.60,16862.10,169.29K,-1.22%
2-Dec-22,17093.6,16972.20,17096.20,16799.90,227.01K,0.72%
1-Dec-22,16972,17163.40,17244.70,16868.90,266.14K,-1.12%
30-Nov-22,17163.9,16440.80,17215.50,16433.20,348.22K,4.40%
29-Nov-22,16440.4,16211.90,16531.40,16100.10,271.58K,1.41%
28-Nov-22,16211.7,16426.10,16481.40,16013.50,284.84K,-1.30%
27-Nov-22,16425.6,16456.40,16595.40,16414.60,173.25K,-0.19%
26-Nov-22,16456.5,16512.30,16686.30,16387.90,194.94K,-0.34%
25-Nov-22,16512.3,16600.60,16611.80,16360.90,204.07K,-0.54%
24-Nov-22,16601.2,16604.90,16785.60,16472.00,229.59K,-0.14%
23-Nov-22,16623.9,16216.90,16677.60,16162.30,305.08K,2.53%
22-Nov-22,16212.9,15776.60,16274.60,15620.40,287.21K,2.77%
21-Nov-22,15776.2,16278.60,16287.90,15504.20,372.15K,-3.13%
20-Nov-22,16286.7,16699.30,16749.30,16209.20,172.83K,-2.47%
19-Nov-22,16699.2,16652.20,16814.90,16608.90,114.89K,0.37%
18-Nov-22,16638.3,16715.40,16846.30,16553.00,241.96K,-0.32%
17-Nov-22,16691.2,16540.50,16739.70,16425.80,257.00K,0.91%
16-Nov-22,16540.5,16895.40,16993.40,16408.20,295.73K,-2.10%
15-Nov-22,16895.1,16615.00,17112.00,16543.90,337.15K,1.69%
14-Nov-22,16613.7,16325.00,17158.40,15834.00,442.46K,1.77%
13-Nov-22,16324.5,16803.90,16946.50,16274.90,210.80K,-2.80%
12-Nov-22,16795.2,17049.90,17100.80,16633.90,192.91K,-1.49%
11-Nov-22,17049.9,17589.10,17679.40,16435.50,466.35K,-3.07%
10-Nov-22,17589.1,15887.00,18138.20,15799.30,720.74K,10.71%
9-Nov-22,15886.9,18538.90,18583.80,15603.30,869.57K,-14.25%
8-Nov-22,18527.4,20589.00,20667.50,17260.00,865.10K,-10.01%
7-Nov-22,20589,20916.30,21055.40,20410.50,414.24K,-1.56%
6-Nov-22,20916.3,21298.70,21360.40,20901.00,242.26K,-1.81%
5-Nov-22,21301.6,21145.70,21464.70,21084.10,261.23K,0.74%
4-Nov-22,21145.9,20206.40,21281.90,20184.60,499.50K,4.65%
3-Nov-22,20206.4,20154.00,20384.50,20066.60,347.23K,0.26%
2-Nov-22,20154.4,20482.90,20778.30,20065.80,420.23K,-1.61%
1-Nov-22,20483.5,20496.10,20676.60,20348.10,302.72K,-0.06%
31-Oct-22,20496.3,20626.00,20822.40,20260.00,327.47K,-0.63%
30-Oct-22,20626.3,20809.40,20922.30,20522.50,207.63K,-0.88%
29-Oct-22,20809.8,20594.20,21038.10,20561.90,276.54K,1.05%
28-Oct-22,20594.4,20293.00,20744.00,20058.20,318.90K,1.49%
27-Oct-22,20292.9,20769.50,20867.90,20231.60,365.49K,-2.29%
26-Oct-22,20769.5,20086.80,20981.50,20062.90,427.99K,3.42%
25-Oct-22,20082.7,19331.80,20406.90,19249.00,371.54K,3.89%
24-Oct-22,19331.5,19571.20,19588.60,19177.20,286.94K,-1.22%
23-Oct-22,19571.2,19204.80,19680.90,19092.50,180.63K,1.91%
22-Oct-22,19204.8,19162.60,19249.90,19116.10,118.24K,0.22%
21-Oct-22,19162.6,19042.90,19245.50,18703.30,294.66K,0.63%
20-Oct-22,19042.9,19125.10,19334.50,18935.60,253.20K,-0.42%
19-Oct-22,19123.9,19328.20,19358.60,19101.20,209.28K,-1.06%
18-Oct-22,19328.2,19548.40,19692.90,19102.80,290.07K,-1.13%
17-Oct-22,19548.2,19262.20,19663.50,19163.60,248.40K,1.49%
16-Oct-22,19261.9,19068.80,19411.90,19066.00,140.95K,1.01%
15-Oct-22,19068.7,19181.70,19218.70,19000.80,123.66K,-0.59%
14-Oct-22,19181.8,19379.80,19933.90,19098.60,400.45K,-1.02%
13-Oct-22,19379.8,19154.60,19494.40,18207.90,455.13K,1.17%
12-Oct-22,19154.8,19058.50,19212.60,19010.60,242.18K,0.50%
11-Oct-22,19059.1,19134.30,19261.30,18868.70,288.57K,-0.39%
10-Oct-22,19134.6,19441.70,19520.70,19057.00,243.77K,-1.58%
9-Oct-22,19441,19416.30,19552.10,19329.60,127.53K,0.13%
8-Oct-22,19415,19530.20,19612.20,19274.70,113.50K,-0.60%
7-Oct-22,19531.3,19962.40,20051.40,19352.10,263.50K,-2.13%
6-Oct-22,19956.7,20157.50,20436.70,19873.70,370.60K,-1.00%
5-Oct-22,20157.5,20340.50,20353.80,19761.70,352.76K,-0.90%
4-Oct-22,20340.2,19629.70,20436.10,19506.40,368.17K,3.63%
3-Oct-22,19628.3,19057.60,19676.00,19001.30,333.03K,3.02%
2-Oct-22,19052.2,19311.90,19389.90,18937.30,222.82K,-1.34%
1-Oct-22,19311.9,19422.90,19480.30,19172.60,173.91K,-0.57%
30-Sep-22,19423,19593.40,20174.90,19208.90,490.29K,-0.87%
29-Sep-22,19593,19420.20,19631.50,18877.90,449.57K,0.94%
28-Sep-22,19411,19083.40,19757.80,18505.30,581.19K,1.73%
27-Sep-22,19081,19228.80,20361.20,18850.40,660.12K,-0.75%
26-Sep-22,19225.7,18803.10,19304.80,18695.20,516.03K,2.25%
25-Sep-22,18803.2,18925.10,19125.10,18659.60,209.71K,-0.64%
24-Sep-22,18925.2,19288.40,19310.60,18812.00,258.50K,-1.91%
23-Sep-22,19293.5,19404.10,19477.30,18554.80,431.15K,-0.57%
22-Sep-22,19404,18488.10,19490.90,18371.00,448.63K,4.95%
21-Sep-22,18489,18875.10,19758.40,18191.80,446.85K,-2.03%
20-Sep-22,18872.4,19538.90,19626.30,18742.60,361.18K,-3.41%
19-Sep-22,19538.9,19417.40,19666.60,18277.80,423.43K,0.62%
18-Sep-22,19418.8,20113.90,20113.90,19347.70,273.11K,-3.45%
17-Sep-22,20113.5,19802.80,20178.60,19761.00,204.58K,1.57%
16-Sep-22,19802.4,19701.90,19883.00,19352.90,315.59K,0.51%
15-Sep-22,19701.7,20222.30,20321.40,19532.30,358.42K,-2.58%
14-Sep-22,20222.5,20175.50,20503.70,19654.20,374.22K,0.23%
13-Sep-22,20175.5,22395.30,22702.50,19909.60,485.32K,-9.91%
12-Sep-22,22395.3,21836.60,22465.40,21581.60,431.98K,2.57%
11-Sep-22,21834.9,21650.40,21836.40,21363.00,297.12K,0.85%
