Date,Price,Open,High,Low,Vol.,Change %
4/30/2023,29255.00,"29,253.00","29,962.00","29,113.00",1.37K,0.01%
4/29/2023,29253.00,"29,338.00","29,454.00","29,085.00",0.35K,-0.29%
4/28/2023,29338.00,"29,479.00","29,589.00","28,911.00",1.40K,-0.48%
4/27/2023,29479.00,"28,433.00","29,885.00","28,395.00",1.89K,3.68%
4/26/2023,28433.00,"28,324.00","30,028.00","27,263.00",3.46K,0.38%
4/25/2023,28324.00,"27,522.00","28,389.00","27,224.00",0.98K,2.91%
4/24/2023,27522.00,"27,613.00","28,000.00","26,998.00",1.38K,-0.33%
4/23/2023,27613.00,"27,826.00","27,827.00","27,364.00",0.69K,-0.77%
4/22/2023,27826.00,"27,287.00","27,884.00","27,163.00",0.71K,1.98%
4/21/2023,27287.00,"28,248.00","28,378.00","27,191.00",1.37K,-3.40%
4/20/2023,28248.00,"28,826.00","29,098.00","28,035.00",1.55K,-2.01%
4/19/2023,28826.00,"30,392.00","30,412.00","28,645.00",3.76K,-5.15%
4/18/2023,30392.00,"29,434.00","30,471.00","29,169.00",1.93K,3.25%
4/17/2023,29434.00,"30,285.00","30,289.00","29,277.00",2.04K,-2.81%
4/16/2023,30285.00,"30,280.00","30,559.00","30,123.00",1.84K,0.02%
4/15/2023,30280.00,"30,462.00","30,575.00","30,195.00",0.80K,-0.60%
4/14/2023,30462.00,"30,389.00","30,968.00","30,001.00",2.59K,0.24%
4/13/2023,30389.00,"29,876.00","30,563.00","29,867.00",1.43K,1.72%
4/12/2023,29876.00,"30,190.00","30,450.00","29,683.00",1.69K,-1.04%
4/11/2023,30190.00,"29,614.00","30,484.00","29,579.00",2.75K,1.95%
4/10/2023,29614.00,"28,320.00","29,724.00","28,159.00",2.24K,4.57%
4/9/2023,28320.00,"27,901.00","28,510.00","27,780.00",0.68K,1.50%
4/8/2023,27901.00,"27,889.00","28,135.00","27,839.00",0.40K,0.04%
4/7/2023,27889.00,"28,018.00","28,082.00","27,755.00",0.33K,-0.46%
4/6/2023,28018.00,"28,153.00","28,163.00","27,728.00",0.88K,-0.48%
4/5/2023,28153.00,"28,153.00","28,750.00","27,837.00",1.52K,0.00%
4/4/2023,28153.00,"27,790.00","28,445.00","27,671.00",1.08K,1.31%
4/3/2023,27790.00,"28,173.00","28,482.00","27,231.00",2.64K,-1.36%
4/2/2023,28173.00,"28,443.00","28,515.00","27,867.00",1.00K,-0.95%
4/1/2023,28443.00,"28,460.00","28,809.00","28,210.00",0.86K,-0.06%
3/31/2023,28460.00,"28,017.00","28,651.00","27,556.00",1.32K,1.58%
3/30/2023,28017.00,"28,344.00","29,170.00","27,692.00",2.68K,-1.15%
3/29/2023,28344.00,"27,265.00","28,645.00","27,253.00",2.12K,3.96%
3/28/2023,27265.00,"27,129.00","27,512.00","26,637.00",1.44K,0.50%
3/27/2023,27129.00,"27,986.00","28,027.00","26,542.00",1.94K,-3.06%
3/26/2023,27986.00,"27,482.00","28,171.00","27,438.00",1.17K,1.83%
3/25/2023,27482.00,"27,458.00","27,779.00","27,173.00",0.86K,0.09%
3/24/2023,27458.00,"28,304.00","28,372.00","27,017.00",1.92K,-2.99%
3/23/2023,28304.00,"27,263.00","28,741.00","27,121.00",3.12K,3.82%
3/22/2023,27263.00,"28,112.00","28,813.00","26,620.00",3.93K,-3.02%
3/21/2023,28112.00,"27,712.00","28,435.00","27,313.00",1.66K,1.44%
3/20/2023,27712.00,"27,936.00","28,438.00","27,130.00",2.70K,-0.80%
3/19/2023,27936.00,"26,913.00","28,329.00","26,838.00",4.34K,3.80%
3/18/2023,26913.00,"27,350.00","27,605.00","26,595.00",3.08K,-1.60%
3/17/2023,27350.00,"25,057.00","27,562.00","24,954.00",9.82K,9.15%
3/16/2023,25057.00,"24,321.00","25,213.00","24,202.00",2.42K,3.03%
3/15/2023,24321.00,"24,744.00","25,245.00","23,939.00",2.63K,-1.71%
3/14/2023,24744.00,"24,187.00","26,434.00","24,073.00",9.61K,2.30%
3/13/2023,24187.00,"22,079.00","24,560.00","21,891.00",7.01K,9.55%
3/12/2023,22079.00,"20,538.00","22,132.00","20,363.00",5.61K,7.50%
3/11/2023,20538.00,"20,201.00","20,783.00","19,874.00",6.80K,1.67%
3/10/2023,20201.00,"20,378.00","20,381.00","19,592.00",4.64K,-0.87%
3/9/2023,20378.00,"21,712.00","21,835.00","20,096.00",3.79K,-6.14%
3/8/2023,21712.00,"22,209.00","22,286.00","21,622.00",1.75K,-2.24%
3/7/2023,22209.00,"22,404.00","22,552.00","21,967.00",1.84K,-0.87%
3/6/2023,22404.00,"22,431.00","22,586.00","22,315.00",0.89K,-0.12%
3/5/2023,22431.00,"22,346.00","22,650.00","22,225.00",0.43K,0.38%
3/4/2023,22346.00,"22,363.00","22,405.00","22,176.00",0.41K,-0.08%
3/3/2023,22363.00,"23,472.00","23,482.00","22,003.00",2.99K,-4.72%
3/2/2023,23472.00,"23,646.00","23,792.00","23,208.00",0.70K,-0.74%
3/1/2023,23646.00,"23,134.00","23,979.00","23,037.00",1.37K,2.21%
2/28/2023,23134.00,"23,504.00","23,609.00","23,067.00",1.44K,-1.57%
2/27/2023,23504.00,"23,560.00","23,891.00","23,167.00",1.84K,-0.24%
2/26/2023,23560.00,"23,177.00","23,669.00","23,083.00",0.77K,1.65%
2/25/2023,23177.00,"23,201.00","23,222.00","22,810.00",1.12K,-0.10%
2/24/2023,23201.00,"23,947.00","24,150.00","22,911.00",3.45K,-3.12%
2/23/2023,23947.00,"24,186.00","24,598.00","23,625.00",2.24K,-0.99%
2/22/2023,24186.00,"24,460.00","24,485.00","23,586.00",3.34K,-1.12%
2/21/2023,24460.00,"24,831.00","25,162.00","24,177.00",3.55K,-1.49%
2/20/2023,24831.00,"24,294.00","25,114.00","23,867.00",2.02K,2.21%
2/19/2023,24294.00,"24,633.00","25,200.00","24,246.00",2.72K,-1.38%
2/18/2023,24633.00,"24,579.00","24,853.00","24,450.00",0.63K,0.22%
2/17/2023,24579.00,"23,535.00","25,018.00","23,362.00",4.17K,4.44%
2/16/2023,23535.00,"24,318.00","25,232.00","23,527.00",4.64K,-3.22%
2/15/2023,24318.00,"22,198.00","24,350.00","22,082.00",2.37K,9.55%
2/14/2023,22198.00,"21,773.00","22,311.00","21,578.00",1.44K,1.95%
2/13/2023,21773.00,"21,796.00","21,902.00","21,404.00",3.08K,-0.11%
2/12/2023,21796.00,"21,866.00","22,095.00","21,667.00",1.26K,-0.32%
2/11/2023,21866.00,"21,643.00","21,903.00","21,614.00",0.36K,1.03%
2/10/2023,21643.00,"21,800.00","21,937.00","21,500.00",1.47K,-0.72%
2/9/2023,21800.00,"22,959.00","23,002.00","21,710.00",3.31K,-5.05%
2/8/2023,22959.00,"23,251.00","23,430.00","22,691.00",1.35K,-1.26%
2/7/2023,23251.00,"22,755.00","23,350.00","22,744.00",1.20K,2.18%
2/6/2023,22755.00,"22,936.00","23,145.00","22,639.00",1.08K,-0.79%
2/5/2023,22936.00,"23,315.00","23,419.00","22,799.00",1.44K,-1.63%
2/4/2023,23315.00,"23,433.00","23,580.00","23,253.00",0.58K,-0.50%
2/3/2023,23433.00,"23,485.00","23,700.00","23,230.00",1.92K,-0.22%
2/2/2023,23485.00,"23,723.00","24,239.00","23,395.00",2.83K,-1.00%
2/1/2023,23723.00,"23,135.00","23,802.00","22,800.00",2.13K,2.54%
1/31/2023,23135.00,"22,837.00","23,286.00","22,730.00",1.99K,1.30%
1/30/2023,22837.00,"23,746.00","23,784.00","22,516.00",2.95K,-3.83%
1/29/2023,23746.00,"23,029.00","23,962.00","23,000.00",4.24K,3.11%
1/28/2023,23029.00,"23,067.00","23,181.00","22,885.00",1.41K,-0.16%
1/27/2023,23067.00,"23,004.00","23,475.00","22,539.00",2.25K,0.27%
1/26/2023,23004.00,"23,045.00","23,273.00","22,859.00",1.40K,-0.18%
1/25/2023,23045.00,"22,627.00","23,812.00","22,334.00",3.74K,1.85%
1/24/2023,22627.00,"22,910.00","23,154.00","22,479.00",1.88K,-1.24%
1/23/2023,22910.00,"22,713.00","23,169.00","22,520.00",1.86K,0.87%
1/22/2023,22713.00,"22,766.00","23,071.00","22,321.00",1.52K,-0.23%
1/21/2023,22766.00,"22,672.00","23,312.00","22,443.00",3.60K,0.41%
